beach_id,beach_name,latitude,longitude,sunrise,sunset,weather_description,temperature,water_temperature,cloud_cover,wind_speed,wave_height
48,Dunes Beach,37.48509246,-122.4539204,6:48:00,17:01:00,Clear,50,55,0,7,3.9
48,Dunes Beach,37.48509246,-122.4539204,6:49:00,17:00:00,Clear,49,55,0,7,4.6
49,Half Moon Bay State Beach,37.47766417,-122.4500385,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
49,Half Moon Bay State Beach,37.47766417,-122.4500385,6:46:00,17:01:00,Clear,52,51,0,8,1.6
49,Half Moon Bay State Beach,37.47766417,-122.4500385,6:51:00,16:58:00,Clear,53,51,0,6,3.6
49,Half Moon Bay State Beach,37.47766417,-122.4500385,6:48:00,17:01:00,Clear,50,55,0,7,3.9
49,Half Moon Bay State Beach,37.47766417,-122.4500385,6:49:00,17:00:00,Clear,49,55,0,7,4.6
50,Francis Beach,37.46564519,-122.4467106,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
50,Francis Beach,37.46564519,-122.4467106,6:46:00,17:01:00,Clear,52,51,0,8,1.6
50,Francis Beach,37.46564519,-122.4467106,6:51:00,16:58:00,Clear,53,51,0,6,3.6
50,Francis Beach,37.46564519,-122.4467106,6:48:00,17:01:00,Clear,50,55,0,7,3.9
50,Francis Beach,37.46564519,-122.4467106,6:49:00,17:00:00,Clear,49,55,0,7,4.6
51,Poplar Beach,37.45607296,-122.4447794,6:48:00,17:01:00,Clear,50,55,0,7,3.9
51,Poplar Beach,37.45607296,-122.4447794,6:49:00,17:00:00,Clear,49,55,0,7,4.6
52,Redondo State Beach,37.44070715,-122.4437066,7:36:00,18:10:00,Partly cloudy,52,55,20,6,5.9
52,Redondo State Beach,37.44070715,-122.4437066,6:46:00,17:01:00,Clear,52,51,0,8,1.6
52,Redondo State Beach,37.44070715,-122.4437066,6:51:00,16:58:00,Clear,53,51,0,6,3.6
52,Redondo State Beach,37.44070715,-122.4437066,6:48:00,17:01:00,Clear,50,55,0,7,3.9
